i,t,d,i,s,p,a,w,t,e,n,g
t,w,e,n,t,y,f,i,v,e,k,y
q,u,a,r,t,e,r,m,h,a,l,f
p,a,s,t,o,b,t,w,e,l,v,e
t,e,n,t,w,o,n,e,i,g,h,t
f,o,u,r,s,i,x,s,e,v,e,n
f,i,v,e,l,e,v,e,n,i,n,e
t,h,r,e,e,s,o,c,l,o,c,k
i,n,v,t,h,e,n,a,t,s,u,j
m,o,r,n,i,n,g,n,i,g,h,t
a,f,t,e,r,n,o,o,n,z,c,f
y,m,d,h,s,e,v,e,n,i,n,g
.,.,.,.,.,.,.,.,.,.,.,.
start row,0,0,0,0,1,1,2,2,3,3,3,4,4,4,4,5,5,5,6,6,6,7,6,8,8,8,9,9,10,10,11
start col,0,3,6,8,0,6,0,8,0,3,7,0,3,5,7,0,4,7,0,5,8,0,6,0,3,7,0,7,0,5,5
length,2,2,1,3,6,4,7,4,4,2,6,3,3,3,5,4,3,5,4,6,4,5,6,2,3,2,7,5,9,4,7
17:20:00,it,is,,,twenty,,,,past,,,,,,,,,,five,,,,,in,the,,,,afternoon,,
17:25:00,it,is,,,twenty,five,,,past,,,,,,,,,,five,,,,,in,the,,,,afternoon,,
17:30:00,it,is,,,,,,half,past,,,,,,,,six,,,,,,,in,the,,,,afternoon,,
17:35:00,it,is,,,twenty,five,,,,to,,,,,,,six,,,,,,,in,the,,,,afternoon,,
17:40:00,it,is,,,twenty,,,,,to,,,,,,,six,,,,,,,in,the,,,,afternoon,,
17:45:00,it,is,a,,,,quarter,,,to,,,,,,,six,,,,,,,in,the,,,,afternoon,,
17:50:00,it,is,,ten,,,,,,to,,,,,,,six,,,,,,,in,the,,,,afternoon,,
17:55:00,it,is,,,,five,,,,to,,,,,,,six,,,,,,,in,the,,,,afternoon,,
18:00:00,it,is,,,,,,,,,,,,,,,six,,,,,,oclock,in,the,,,,,,evening
18:05:00,it,is,,,,five,,,past,,,,,,,,six,,,,,,,in,the,,,,,,evening
18:10:00,it,is,,ten,,,,,past,,,,,,,,six,,,,,,,in,the,,,,,,evening
18:15:00,it,is,a,,,,quarter,,past,,,,,,,,six,,,,,,,in,the,,,,,,evening
18:20:00,it,is,,,twenty,,,,past,,,,,,,,six,,,,,,,in,the,,,,,,evening
18:25:00,it,is,,,twenty,five,,,past,,,,,,,,six,,,,,,,in,the,,,,,,evening
18:30:00,it,is,,,,,,half,past,,,,,,,,,seven,,,,,,in,the,,,,,,evening
18:35:00,it,is,,,twenty,five,,,,to,,,,,,,,seven,,,,,,in,the,,,,,,evening
18:40:00,it,is,,,twenty,,,,,to,,,,,,,,seven,,,,,,in,the,,,,,,evening
18:45:00,it,is,a,,,,quarter,,,to,,,,,,,,seven,,,,,,in,the,,,,,,evening
18:50:00,it,is,,ten,,,,,,to,,,,,,,,seven,,,,,,in,the,,,,,,evening
18:55:00,it,is,,,,five,,,,to,,,,,,,,seven,,,,,,in,the,,,,,,evening
19:00:00,it,is,,,,,,,,,,,,,,,,seven,,,,,oclock,in,the,,,,,,evening
19:05:00,it,is,,,,five,,,past,,,,,,,,,seven,,,,,,in,the,,,,,,evening
19:10:00,it,is,,ten,,,,,past,,,,,,,,,seven,,,,,,in,the,,,,,,evening
19:15:00,it,is,a,,,,quarter,,past,,,,,,,,,seven,,,,,,in,the,,,,,,evening
19:20:00,it,is,,,twenty,,,,past,,,,,,,,,seven,,,,,,in,the,,,,,,evening
19:25:00,it,is,,,twenty,five,,,past,,,,,,,,,seven,,,,,,in,the,,,,,,evening
19:30:00,it,is,,,,,,half,past,,,,,,eight,,,,,,,,,in,the,,,,,,evening
19:35:00,it,is,,,twenty,five,,,,to,,,,,eight,,,,,,,,,in,the,,,,,,evening
19:40:00,it,is,,,twenty,,,,,to,,,,,eight,,,,,,,,,in,the,,,,,,evening
19:45:00,it,is,a,,,,quarter,,,to,,,,,eight,,,,,,,,,in,the,,,,,,evening
19:50:00,it,is,,ten,,,,,,to,,,,,eight,,,,,,,,,in,the,,,,,,evening
19:55:00,it,is,,,,five,,,,to,,,,,eight,,,,,,,,,in,the,,,,,,evening
20:00:00,it,is,,,,,,,,,,,,,eight,,,,,,,,oclock,in,the,,,,,,evening
20:05:00,it,is,,,,five,,,past,,,,,,eight,,,,,,,,,in,the,,,,,,evening
20:10:00,it,is,,ten,,,,,past,,,,,,eight,,,,,,,,,in,the,,,,,,evening
20:15:00,it,is,a,,,,quarter,,past,,,,,,eight,,,,,,,,,in,the,,,,,,evening
20:20:00,it,is,,,twenty,,,,past,,,,,,eight,,,,,,,,,in,the,,,,,,evening
