eeschema (2011-12-28 BZR 3254)-stable  >> Creation date: 2/13/2012 3:45:22 PM

#Cmp ( order = Reference )
| LED          D47       ; led_5mm_clear
| LED          D48       ; led_5mm_clear
| LED          D49       ; led_5mm_clear
| LED          D50       ; led_5mm_clear
| LED          D51       ; led_5mm_clear
| LED          D52       ; led_5mm_clear
| LED          D53       ; led_5mm_clear
| LED          D54       ; led_5mm_clear
| LED          D55       ; led_5mm_clear
| LED          D56       ; led_5mm_clear
| LED          D57       ; led_5mm_clear
| LED          D58       ; led_5mm_clear
| LED          D59       ; led_5mm_clear
| LED          D60       ; led_5mm_clear
| LED          D61       ; led_5mm_clear
| LED          D62       ; led_5mm_clear
| LED          D63       ; led_5mm_clear
| LED          D64       ; led_5mm_clear
| LED          D65       ; led_5mm_clear
| LED          D66       ; led_5mm_clear
| LED          D67       ; led_5mm_clear
| LED          D68       ; led_5mm_clear
| LED          D69       ; led_5mm_clear
| LED          D70       ; led_5mm_clear
| LED          D71       ; led_5mm_clear
| LED          D72       ; led_5mm_clear
| LED          D73       ; led_5mm_clear
| LED          D74       ; led_5mm_clear
| LED          D75       ; led_5mm_clear
| LED          D76       ; led_5mm_clear
| LED          D77       ; led_5mm_clear
| LED          D78       ; led_5mm_clear
| LED          D79       ; led_5mm_clear
| LED          D80       ; led_5mm_clear
| LED          D81       ; led_5mm_clear
| LED          D82       ; led_5mm_clear
| LED          D83       ; led_5mm_clear
| LED          D84       ; led_5mm_clear
| LED          D85       ; led_5mm_clear
| LED          D86       ; led_5mm_clear
| LED          D87       ; led_5mm_clear
| LED          D88       ; led_5mm_clear
| LED          D89       ; led_5mm_clear
| LED          D90       ; led_5mm_clear
| LED          D91       ; led_5mm_clear
| LED          D92       ; led_5mm_clear
| LED          D93       ; led_5mm_clear
| LED          D94       ; led_5mm_clear
| LED          D95       ; led_5mm_clear
| LED          D96       ; led_5mm_clear
| LED          D97       ; led_5mm_clear
| LED          D98       ; led_5mm_clear
| LED          D99       ; led_5mm_clear
| LED          D100      ; led_5mm_clear
| LED          D101      ; led_5mm_clear
| LED          D102      ; led_5mm_clear
| LED          D103      ; led_5mm_clear
| LED          D104      ; led_5mm_clear
| LED          D105      ; led_5mm_clear
| LED          D106      ; led_5mm_clear
| LED          D107      ; led_5mm_clear
| LED          D108      ; led_5mm_clear
| LED          D109      ; led_5mm_clear
| LED          D110      ; led_5mm_clear
| LED          D111      ; led_5mm_clear
| LED          D112      ; led_5mm_clear
| LED          D113      ; led_5mm_clear
| LED          D114      ; led_5mm_clear
| LED          D115      ; led_5mm_clear
| LED          D116      ; led_5mm_clear
| LED          D117      ; led_5mm_clear
| LED          D118      ; led_5mm_clear
| LED          D119      ; led_5mm_clear
| LED          D120      ; led_5mm_clear
| LED          D121      ; led_5mm_clear
| LED          D122      ; led_5mm_clear
| LED          D123      ; led_5mm_clear
| LED          D124      ; led_5mm_clear
| LED          D125      ; led_5mm_clear
| LED          D126      ; led_5mm_clear
| LED          D127      ; led_5mm_clear
| LED          D128      ; led_5mm_clear
| LED_ENABLE   K2        ; pin_strip_3 
| MODE         SW3       ; SW_PB_V     ; P10884S-ND  
| MODE         SW32      ; SW-PB-MOD   ; P10884S-ND  
| PCB          PCB1      ; PCB         
| PWR          D260      ; led_5mm_blue
| PWR SEL      K1        ; pin_strip_3 
| RST          SW4       ; SW_PB_V     ; P10884S-ND  
| RST          SW42      ; SW-PB-MOD   ; P10884S-ND  
| SCL          K4        ; pin_strip_2 
| SDA          K5        ; pin_strip_2 
| SPEAKER      SP1       ; Speaker     ; 102-1169-ND 
| STACK-L      P41       ; pin_sck_4-90
| STACK-R      P42       ; pin_strip_4-90
| STP16DP05    DIL-U1    ; SCK-24_600_ELL; 497-5975-1-ND
| STP8DP05     U5        ; dil_16-300_socket
| V_IN         J1        ; con-hirose-UX60-MB-5S8; http://search.digikey.com/us/en/products/UX60-MB-5ST/H2959CT-ND/597538
| V_IN         J2        ; con-usb-USB-B-H
| V_IN         J3        ; JACK_ALIM   
| V_OUT        P12       ; pin_strip_3 
#End Cmp

#End List
